codec,codec_label,preset,bitrate_mbps_mean,bitrate_mbps_min,bitrate_mbps_max,psnr_y_mean,vmaf_mean,energy_kj_mean,energy_kj_min,energy_kj_max,encode_energy_j_mean,decode_energy_j_mean,encode_time_s_mean,decode_time_s_mean,is_reference_preset
x264,x264,faster,6.292107142857143,2.1135714285714284,13.040142857142857,35.49578571428572,64.53703571428571,0.10720357142857143,0.08865714285714286,0.13268571428571427,97.46028571428572,9.7425,1.0172857142857143,0.188,False
x264,x264,medium,6.3425714285714285,1.949,13.500142857142858,35.30432142857143,65.70442857142858,0.14136428571428572,0.10785714285714286,0.1911,131.47714285714287,9.884535714285715,1.3964642857142857,0.19239285714285714,True
x264,x264,slow,6.33525,1.8734285714285714,13.623000000000001,34.98357142857143,64.18389285714287,0.2257607142857143,0.13752857142857142,0.35684285714285713,215.0895,10.670285714285715,2.04325,0.19385714285714284,False
x265,x265,faster,6.314607142857143,1.3214285714285714,14.334571428571428,36.564035714285716,70.79210714285713,0.3081214285714286,0.2262142857142857,0.40411428571428576,281.1016071428571,27.027535714285712,3.556035714285714,0.6136428571428572,False
x265,x265,medium,6.204285714285715,1.2885714285714285,14.013000000000002,36.591928571428575,71.08260714285714,0.3690714285714286,0.23065714285714284,0.5460428571428572,343.92064285714287,25.15592857142857,4.64,0.6135357142857143,True
x265,x265,slow,6.6427499999999995,1.352857142857143,14.994,36.925285714285714,74.17675,1.0101928571428571,0.6661857142857143,1.4437857142857144,982.7183214285715,27.479785714285715,11.653714285714285,0.6270357142857143,False
svtav1,SVT-AV1,p10,21.14992857142857,4.693,48.95242857142858,39.25325,86.93778571428571,0.15497142857142857,0.12895714285714285,0.20535714285714285,133.49132142857144,21.482392857142855,3.4076071428571426,0.5786428571428571,False
svtav1,SVT-AV1,p5,14.738357142857144,3.493,33.14814285714286,39.99189285714286,87.41935714285714,0.7674000000000001,0.7174571428571428,0.7982142857142858,745.687,21.715392857142856,16.019035714285714,0.5224285714285715,True
svtav1,SVT-AV1,p2,13.72107142857143,3.2432857142857148,31.46457142857143,40.338321428571426,88.22032142857142,5.13345,4.5578,6.160514285714286,5103.329178571428,30.117214285714283,93.99596428571428,0.6008928571428571,False
vvenc,VVenC,faster,3.4768214285714287,0.570857142857143,8.769857142857143,37.25342857142857,73.57528571428571,1.337332142857143,0.8752142857142857,2.0816714285714286,1228.2392142857143,109.08414285714287,13.032035714285714,1.1868571428571428,False
vvenc,VVenC,medium,3.399785714285714,0.5201428571428571,8.604714285714286,37.787,76.40046428571428,7.006321428571429,3.2026285714285714,12.558257142857144,6911.248678571428,95.06846428571428,94.11967857142857,1.0986428571428573,True
vvenc,VVenC,slow,3.3127500000000003,0.5165714285714286,8.353714285714286,37.875928571428574,76.86135714285714,25.042439285714288,7.557257142857144,51.06061428571429,24924.341821428574,118.09596428571427,323.81832142857144,1.1019285714285714,False
