codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
Ballé,q=1,actual_bitstream,0.11943072009095591,28.92841798067093,0.9284550088147322,0.9330588939289252,0.316175449717169,0.12774952438970402,0.9663105023403963,0.08774752825653796,0.43749390356242657,0.7598776544133822,0.7413550714651743,0.25725806535532075,4.143936126704026,113.16515074895506
Ballé,q=3,actual_bitstream,0.2656717818610037,32.27522031466166,0.9661797887335221,0.9663258486737808,0.20463706578205645,0.07525976995627082,0.9863118504484495,0.045001866237726014,0.5452300676455101,0.8723051752895117,0.8843734922508398,0.20640709732348717,37.50864176326652,112.82342827977725
Ballé,q=5,actual_bitstream,0.5364742274709086,35.60242714484533,0.9869444773842891,0.9847409172604481,0.11459992269131662,0.035618112112084974,0.9952073798825344,0.017296783325339928,0.6546743543197712,0.9432890520741543,0.9638567827641964,0.1576647762364397,63.4905708610361,118.16767975036176
Ballé,q=7,actual_bitstream,1.0322453610069844,39.221985816955566,0.9942047831912836,0.9929912146180868,0.05650795653248977,0.017893353477120347,0.9982714919994274,0.006734408627380573,0.7744701560586691,0.9781175442039967,0.9862453819562992,0.12313172019397216,78.29379197864489,197.12415217660842
Cheng,q=1,actual_bitstream,0.101796768418506,29.86705156167348,0.9372895720104376,0.9386930633336306,0.29345168739867705,0.12569379930694893,0.968578955779473,0.08406431208519882,0.4669108937184016,0.7794119864702225,0.7372252972175678,0.2551632627534369,8.199161011578669,16195.01673595778
Cheng,q=3,actual_bitstream,0.22046590596568105,32.77307101090749,0.9705070412407318,0.9688782126953205,0.18924658206136272,0.07504821754992004,0.9873620097835859,0.04214881218892207,0.5620805903648337,0.8809634962429603,0.8901605680584908,0.2043601397114495,40.74679333417912,16217.95817227121
Cheng,q=5,actual_bitstream,0.4702443159872544,35.93712532520294,0.9871490852286419,0.9850568833450476,0.10920464074782403,0.03975498924652731,0.9951596179356178,0.017671176892084334,0.6655818118403355,0.9452831192562977,0.9604844724138578,0.159890537460645,63.74426364236288,16220.82396368857
DCAE,lam=0.0035,actual_bitstream,0.1493956462502054,32.39588965972265,0.9623336618145307,0.9616199222703775,0.2022699339043659,0.08477922528982158,0.9819640486190716,0.0582296988383556,0.539352094133695,0.8547126439710458,0.8435798113544782,0.22137258263925708,30.26888075212473,424.3928118864157
DCAE,lam=0.013,actual_bitstream,0.34182788276519055,35.822880367437996,0.9843172325442234,0.982561411956946,0.11402465746505182,0.044954881692926045,0.9934996714194616,0.023866456128113542,0.6452271662031611,0.9333126240720352,0.9479791652411222,0.17171512264758346,58.735088561737406,423.70212704190635
ELIC,lam=0.008,actual_bitstream,0.06711850821725644,28.9902703166008,0.9179948469003042,0.9204256404191256,0.3211912479406843,0.14104206549624598,0.9545173911998669,0.10816580771158135,0.4300951274732749,0.7327244654297829,0.6531988571708401,0.27624827033529675,-7.830872374041335,375.43679757315357
ELIC,lam=0.032,actual_bitstream,0.16482137933732588,32.09019994735718,0.9611910947908958,0.9605954842021068,0.21059816008588916,0.08632611234982805,0.9813996845235428,0.05730466065385064,0.5288247475400567,0.849383627374967,0.8463167138397694,0.22390728195508317,29.47243498561504,382.5817596555983
ELIC,lam=0.150,actual_bitstream,0.39306821019408544,35.82518277565638,0.9849719808747371,0.9831084044029316,0.11439377484687911,0.04194224563737706,0.993909946953257,0.021907336127090532,0.6475885758797327,0.936110765983661,0.9530767022321621,0.16851776357119277,60.12694412273073,393.8134486355314
ELIC,lam=0.450,actual_bitstream,0.6807009373241222,38.59832147757212,0.9923705048859119,0.9909613840281963,0.06658869561700456,0.02303229458630081,0.9973276021579901,0.00987874762116306,0.7347438288852572,0.968969672297438,0.9808316448082527,0.13640518346801397,73.87620825539729,403.0361981769299
