eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
clic2020,Ballé,q=1,actual_bitstream,0.12464221972410461,28.295326073964436,0.9437784304221472,0.9296892161170641,0.3674024386952321,0.12424525618553157,0.9821030348539352,0.08572644538556533,0.39940981318553287,0.7448598071932793,0.7422875563303629,0.234813608850042,-0.29309740110485755,161.73872578959467
clic2020,Ballé,q=3,actual_bitstream,0.29154737583259666,31.623890320460003,0.9727424383163452,0.9645385344823202,0.2411637421076496,0.07330442965030665,0.992919405301412,0.043519581047197144,0.5110681292911371,0.8639761880040169,0.8837405939896902,0.18733397250374154,34.529937106878045,164.357333997638
clic2020,Ballé,q=5,actual_bitstream,0.5983069009277565,34.8217400709788,0.9918797239661217,0.9834724316994349,0.14149540631721413,0.035579323768615674,0.9976630508899689,0.016704574072112597,0.6193696719904741,0.9388553475340208,0.9647211581468582,0.14183151535689828,61.0655008691181,171.29504054173594
clic2020,Ballé,q=7,actual_bitstream,1.1908233621280895,38.39401833216349,0.9958035623033842,0.9923658793171247,0.06502653472125526,0.018516530593236238,0.9990615422526995,0.006670611367250434,0.7423948248227438,0.9761686623096466,0.9859001760681471,0.11223172706862287,76.3657472378542,289.3427169565257
clic2020,Cheng,q=1,actual_bitstream,0.11150537216688637,29.250584443410236,0.956827220817407,0.934732993443807,0.3425479270517826,0.12306046982606249,0.9821557179093361,0.08261261958008008,0.43204018473625183,0.7643849551677704,0.732293558617433,0.23713454666237033,3.8011774206924343,23660.349291290306
clic2020,Cheng,q=3,actual_bitstream,0.2509507905676181,32.121330897013344,0.9815513963500658,0.9672548373540243,0.22349746214846766,0.07458615303039547,0.9934297030170759,0.04017974785529073,0.5282874889671803,0.8733086884021759,0.891708051164945,0.18575373478233811,37.90892522037286,23671.164604164613
clic2020,Cheng,q=5,actual_bitstream,0.5403812194170358,35.24614500999451,0.9918832754095396,0.9835051273306211,0.13890086533501741,0.041979971031347874,0.9974140599370003,0.017375823071536876,0.6335554296771685,0.9410217056671778,0.9592423935731252,0.14546853241821125,61.06718884257492,23714.436549210102
clic2020,DCAE,lam=0.0035,actual_bitstream,0.17814735641175472,31.75395965576172,0.978257787724336,0.9601696679989496,0.23425368002305424,0.08164439598719274,0.9908730809887251,0.05655208975076672,0.5012146507700285,0.8450494483113289,0.8484392439325651,0.19938575476408002,27.172797835996736,607.8756468323263
clic2020,DCAE,lam=0.013,actual_bitstream,0.40360778132667124,35.10249209403992,0.9907560447851816,0.9810768192013105,0.14333153453965977,0.04614495237668351,0.9967306579152743,0.02349171302436535,0.6116845620175203,0.9279202595353127,0.9477673123280207,0.15399000669519103,56.250994421528596,617.6754390010805
clic2020,ELIC,lam=0.008,actual_bitstream,0.069892433226396,28.291661977767944,0.9428369527061781,0.9139515832066536,0.3765993680184086,0.13980282843112943,0.9733703856666883,0.10887755127623673,0.38832630465428036,0.7103652805089951,0.6450429086883863,0.259886830424269,-13.77285915557846,521.587304124599
