image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/andrew-neel-178721.png,clic_train,JXL,3.0,0.4015,33.04,0.4477,147.16,OK
/home/user/tesi/datasets/clic2020/train/angela-benito-3184.png,clic_train,JXL,12.0,0.4508,20.94,0.3375,103.97,OK
/home/user/tesi/datasets/clic2020/train/angelina-odemchuk-180.png,clic_train,JXL,3.0,0.426,36.72,0.1109,36.96,OK
/home/user/tesi/datasets/clic2020/train/anna-anikina-31537.png,clic_train,Neural,2.0,0.43467,25.2163,0.17899,8956.85,OK
/home/user/tesi/datasets/clic2020/train/anna-popovic-56025.png,clic_train,JXL,7.0,0.4748,29.3,0.1983,108.89,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-42051.png,clic_train,JXL,7.0,0.4033,26.79,0.3539,156.16,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-44241.png,clic_train,JPEG,60.0,0.37226,39.5634,0.08887,266.29,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-14634.png,clic_train,JXL,3.0,0.3172,35.1,0.3738,145.48,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-16442.png,clic_train,Neural,2.0,0.27837,27.7186,0.19264,7364.44,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-22776.png,clic_train,JXL,1.0,0.3978,43.12,0.1349,164.34,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-33879.png,clic_train,JXL,1.0,0.4115,42.24,0.1045,157.7,OK
/home/user/tesi/datasets/clic2020/train/anthony-indraus-14311.png,clic_train,JXL,7.0,0.3303,30.24,0.1931,154.96,OK
/home/user/tesi/datasets/clic2020/train/anton-repponen-96746.png,clic_train,Neural,2.0,0.28114,28.1324,0.2978,7318.73,OK
/home/user/tesi/datasets/clic2020/train/anton-repponen-99546.png,clic_train,Neural,4.0,0.3866,31.396,0.31092,7339.16,OK
/home/user/tesi/datasets/clic2020/train/ariana-prestes-285.png,clic_train,Neural,2.0,0.27525,28.7569,0.13828,1838.31,OK
/home/user/tesi/datasets/clic2020/train/arto-marttinen-182999.png,clic_train,Neural,4.0,0.49688,32.6805,0.10371,7348.96,OK
/home/user/tesi/datasets/clic2020/train/arto-marttinen-79383.png,clic_train,JXL,3.0,0.4917,34.3,0.1725,134.17,OK
/home/user/tesi/datasets/clic2020/train/artur-pokusin-739.png,clic_train,JPEG,60.0,0.47107,37.3145,0.13473,300.5,OK
/home/user/tesi/datasets/clic2020/train/arvee-marie-107.png,clic_train,JXL,7.0,0.3214,30.36,0.0708,56.97,OK
/home/user/tesi/datasets/clic2020/train/aurelien-bellanger-3970.png,clic_train,Neural,6.0,0.15567,39.3245,0.23431,7339.94,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-139496.png,clic_train,Neural,4.0,0.46141,32.6322,0.16483,7379.0,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-159603.png,clic_train,JXL,1.0,0.4442,43.2,0.0395,146.4,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-189141.png,clic_train,JPEG,30.0,0.4786,31.1001,0.1971,379.89,OK
/home/user/tesi/datasets/clic2020/train/axel-antas-bergkvist-7400.png,clic_train,JXL,3.0,0.3233,33.63,0.1537,141.19,OK
/home/user/tesi/datasets/clic2020/train/barcelona-81.png,clic_train,Neural,4.0,0.3701,33.3929,0.13623,844.03,OK
/home/user/tesi/datasets/clic2020/train/barcelona-82.png,clic_train,JXL,7.0,0.3288,31.13,0.1876,28.21,OK
/home/user/tesi/datasets/clic2020/train/barn-images-11460.png,clic_train,JXL,3.0,0.4841,33.75,0.2024,152.83,OK
