image,dataset,winner_codec,winner_param,winner_bpp,winner_psnr,winner_lpips,winner_enc_ms,jpeg_lpips,hevc_lpips,balle_lpips,cheng_lpips,note
/home/user/tesi/datasets/clic2020/train/ales-krivec-1211.png,clic_train,Balle2018,2,0.2931,27.0747,0.1984,70.6,0.0188,0.0938,0.066,0.0558,
/home/user/tesi/datasets/clic2020/train/ales-krivec-2051.png,clic_train,Balle2018,2,0.3467,27.1694,0.2657,69.4,0.0258,0.13,0.0514,0.048,
/home/user/tesi/datasets/clic2020/train/ales-krivec-26511.png,clic_train,Balle2018,4,0.4012,32.9513,0.2018,73.7,0.0265,0.148,0.103,0.0902,
/home/user/tesi/datasets/clic2020/train/ales-krivec-2892.png,clic_train,Balle2018,2,0.3524,25.9643,0.3967,72.1,0.0259,0.126,0.0628,0.0546,
/home/user/tesi/datasets/clic2020/train/ales-krivec-3727.png,clic_train,Balle2018,2,0.3124,26.5856,0.4,71.6,0.023,0.1684,0.0804,0.0616,
/home/user/tesi/datasets/clic2020/train/ales-krivec-3728.png,clic_train,Balle2018,2,0.2889,26.9113,0.1571,70.6,0.0178,0.0582,0.0296,0.0288,
/home/user/tesi/datasets/clic2020/train/ales-krivec-434.png,clic_train,Balle2018,4,0.4508,32.5833,0.2196,72.7,0.0201,0.1953,0.1089,0.0892,
/home/user/tesi/datasets/clic2020/train/ales-krivec-731.png,clic_train,Balle2018,4,0.3809,33.1994,0.221,71.2,0.0216,0.1579,0.1069,0.0889,
/home/user/tesi/datasets/clic2020/train/alex-siale-95113.png,clic_train,Balle2018,2,0.231,27.0466,0.4136,70.7,0.0192,0.1251,0.0457,0.0412,
/home/user/tesi/datasets/clic2020/train/alex-talmon-192.png,clic_train,Balle2018,2,0.2412,27.0086,0.3779,31.9,0.0178,0.1573,0.075,0.075,
/home/user/tesi/datasets/clic2020/train/alex-wong-17993.png,clic_train,Balle2018,2,0.2977,27.5231,0.0883,71.2,0.0172,0.0416,0.0367,0.0306,
/home/user/tesi/datasets/clic2020/train/alex-wong-17997.png,clic_train,Balle2018,6,0.4567,37.8944,0.0734,114.2,0.0145,0.0844,0.0734,0.0698,
/home/user/tesi/datasets/clic2020/train/alexander-dimitrov-5583.png,clic_train,Balle2018,4,0.137,36.7655,0.301,58.3,0.0369,0.2527,0.301,0.2098,
/home/user/tesi/datasets/clic2020/train/alexander-rotker-107460.png,clic_train,Balle2018,2,0.1769,8.8867,0.8705,60.4,0.0192,0.2069,0.8705,0.1698,
/home/user/tesi/datasets/clic2020/train/alexander-schwarz-660.png,clic_train,Balle2018,6,0.4527,37.9316,0.2184,113.3,0.0325,0.2205,0.2184,0.1907,
/home/user/tesi/datasets/clic2020/train/alexander-shustov-63.png,clic_train,Balle2018,6,0.2306,41.8713,0.0651,112.5,0.0163,0.0527,0.0651,0.0608,
/home/user/tesi/datasets/clic2020/train/alexander-shustov-69.png,clic_train,Balle2018,6,0.272,41.4392,0.0882,110.7,0.0123,0.094,0.0882,0.0842,
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-45492.png,clic_train,Balle2018,4,0.292,33.5968,0.1458,70.4,0.0298,0.077,0.0935,0.0741,
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-75274.png,clic_train,Balle2018,2,0.3002,27.495,0.3349,69.7,0.0229,0.1078,0.0738,0.0563,
/home/user/tesi/datasets/clic2020/train/ali-inay-2273.png,clic_train,Balle2018,2,0.2933,27.2666,0.242,69.0,0.0131,0.1083,0.0479,0.0395,
/home/user/tesi/datasets/clic2020/train/ali-inay-2277.png,clic_train,Balle2018,2,0.309,27.0459,0.3467,69.5,0.0183,0.196,0.0616,0.053,
/home/user/tesi/datasets/clic2020/train/amar-yashlaha-122277.png,clic_train,Balle2018,2,0.1739,25.8422,0.7086,59.5,0.0268,0.3019,0.7086,0.0724,
/home/user/tesi/datasets/clic2020/train/ambitious-creative-co-rick-barrett-110145 (1).png,clic_train,Balle2018,4,0.2822,34.915,0.0601,70.9,0.0106,0.0425,0.0446,0.0407,
/home/user/tesi/datasets/clic2020/train/anders-jilden-89745.png,clic_train,Balle2018,6,0.395,39.3469,0.0203,114.9,0.0102,0.0257,0.0203,0.0173,
/home/user/tesi/datasets/clic2020/train/andre-koch-188.png,clic_train,Balle2018,2,0.393,24.1416,0.4461,66.3,0.0302,0.1699,0.4461,0.087,
/home/user/tesi/datasets/clic2020/train/andre-robillard-298.png,clic_train,Balle2018,6,0.4745,38.4892,0.0663,109.7,0.0156,0.0801,0.0663,0.0616,
/home/user/tesi/datasets/clic2020/train/andre-spieker-238.png,clic_train,Balle2018,6,0.455,38.9581,0.1757,79.4,0.0213,0.2876,0.1757,0.1662,
/home/user/tesi/datasets/clic2020/train/andrea-boldizsar-183.png,clic_train,Balle2018,2,0.2436,27.6999,0.3254,38.6,0.0185,0.1605,0.0982,0.0893,
/home/user/tesi/datasets/clic2020/train/andrew-coelho-46449.png,clic_train,Balle2018,2,0.2543,26.392,0.4519,69.5,0.0328,0.1176,0.0774,0.0649,
/home/user/tesi/datasets/clic2020/train/andrew-collins-1612.png,clic_train,Balle2018,2,0.3097,26.7493,0.3819,39.2,0.0274,0.1619,0.0525,0.048,
/home/user/tesi/datasets/clic2020/train/andrew-neel-133200.png,clic_train,Balle2018,2,0.2946,26.3235,0.4792,70.2,0.0274,0.2352,0.0659,0.0752,
/home/user/tesi/datasets/clic2020/train/andrew-neel-178721.png,clic_train,Balle2018,4,0.2552,32.3399,0.5648,69.9,0.0509,0.4121,0.2302,0.2391,
/home/user/tesi/datasets/clic2020/train/angela-benito-3184.png,clic_train,HEVC,45,0.2148,18.2572,0.6136,893.8,0.0106,0.0681,0.2209,0.0365,FALLBACK_MIN_BPP
/home/user/tesi/datasets/clic2020/train/angelina-odemchuk-180.png,clic_train,Balle2018,6,0.4963,38.8553,0.1172,32.8,0.011,0.1883,0.1172,0.0992,
/home/user/tesi/datasets/clic2020/train/anna-anikina-31537.png,clic_train,Balle2018,2,0.4144,24.2311,0.2291,86.0,0.0194,0.0801,0.0321,0.0345,
/home/user/tesi/datasets/clic2020/train/anna-popovic-56025.png,clic_train,Balle2018,2,0.3093,8.0362,0.6501,55.6,0.0136,0.17,0.5837,0.0486,
/home/user/tesi/datasets/clic2020/train/annie-spratt-42051.png,clic_train,Balle2018,2,0.2531,26.7306,0.3925,70.7,0.0089,0.1418,0.0387,0.0338,
/home/user/tesi/datasets/clic2020/train/annie-spratt-44241.png,clic_train,Balle2018,6,0.1919,41.7419,0.1349,107.4,0.0129,0.1368,0.1349,0.1277,
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-14634.png,clic_train,Balle2018,6,0.4827,36.7645,0.3872,117.2,0.0171,0.421,0.3872,0.4083,
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-16442.png,clic_train,Balle2018,2,0.3308,26.9075,0.2137,73.4,0.0077,0.1132,0.0515,0.0751,
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-22776.png,clic_train,Balle2018,6,0.2317,41.6685,0.1653,112.7,0.0392,0.1384,0.1653,0.1507,
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-33879.png,clic_train,Balle2018,6,0.1831,40.3027,0.2341,111.9,0.0333,0.17,0.2341,0.2159,
/home/user/tesi/datasets/clic2020/train/anthony-indraus-14311.png,clic_train,Balle2018,4,0.419,32.9006,0.1619,73.5,0.0118,0.0771,0.0753,0.0508,
/home/user/tesi/datasets/clic2020/train/anton-repponen-96746.png,clic_train,Balle2018,2,0.289,27.4142,0.328,69.0,0.0283,0.1659,0.1069,0.094,
/home/user/tesi/datasets/clic2020/train/anton-repponen-99546.png,clic_train,Balle2018,4,0.4689,31.1343,0.3721,71.0,0.0423,0.211,0.1235,0.1038,
/home/user/tesi/datasets/clic2020/train/ariana-prestes-285.png,clic_train,Balle2018,2,0.2977,27.4996,0.1711,20.3,0.0115,0.0774,0.042,0.0301,
/home/user/tesi/datasets/clic2020/train/arto-marttinen-182999.png,clic_train,Balle2018,2,0.236,28.1377,0.3143,68.1,0.0242,0.1078,0.05,0.0405,
/home/user/tesi/datasets/clic2020/train/arto-marttinen-79383.png,clic_train,Balle2018,4,0.3032,33.4933,0.2716,64.7,0.0397,0.185,0.2716,0.1267,
/home/user/tesi/datasets/clic2020/train/artur-pokusin-739.png,clic_train,Balle2018,2,0.0675,34.3034,0.3253,60.8,0.028,0.206,0.3253,0.1852,
/home/user/tesi/datasets/clic2020/train/arvee-marie-107.png,clic_train,Balle2018,4,0.3504,34.2889,0.0466,31.7,0.0142,0.0395,0.0373,0.035,
/home/user/tesi/datasets/clic2020/train/aurelien-bellanger-3970.png,clic_train,Balle2018,6,0.2355,39.2081,0.2614,114.7,0.0292,0.2695,0.2614,0.2343,
/home/user/tesi/datasets/clic2020/train/austin-neill-139496.png,clic_train,Balle2018,4,0.4911,31.9773,0.1803,71.4,0.0202,0.1371,0.1055,0.098,
/home/user/tesi/datasets/clic2020/train/austin-neill-159603.png,clic_train,Balle2018,6,0.2456,41.5316,0.0719,111.5,0.0135,0.0662,0.0719,0.0658,
/home/user/tesi/datasets/clic2020/train/austin-neill-189141.png,clic_train,Balle2018,4,0.3358,33.6534,0.1995,70.6,0.0204,0.1483,0.1181,0.1082,
/home/user/tesi/datasets/clic2020/train/axel-antas-bergkvist-7400.png,clic_train,Balle2018,4,0.2583,12.3497,0.9024,61.2,0.021,0.1644,0.9024,0.0823,
/home/user/tesi/datasets/clic2020/train/barcelona-81.png,clic_train,Balle2018,4,0.4279,33.0992,0.1367,10.9,0.0082,0.1607,0.0565,0.0661,
/home/user/tesi/datasets/clic2020/train/barcelona-82.png,clic_train,Balle2018,4,0.42,33.6662,0.1582,16.8,0.0072,0.1897,0.0926,0.0792,
/home/user/tesi/datasets/clic2020/train/barn-images-11460.png,clic_train,Balle2018,4,0.3475,9.9606,0.8173,67.0,0.0263,0.2084,0.7961,0.1713,
/home/user/tesi/datasets/clic2020/train/bartlomiej-jacak-114470.png,clic_train,Balle2018,6,0.3238,38.9848,0.2011,113.5,0.0198,0.2177,0.2011,0.1968,
/home/user/tesi/datasets/clic2020/train/bartosz-bak-254.png,clic_train,HEVC,45,0.2337,19.0027,0.5558,940.6,0.0081,0.0945,0.0639,0.0161,FALLBACK_MIN_BPP
/home/user/tesi/datasets/clic2020/train/bec-brown-3490.png,clic_train,Balle2018,4,0.1534,36.7379,0.314,62.1,0.0459,0.2201,0.314,0.1974,
/home/user/tesi/datasets/clic2020/train/ben-dumond-13830.png,clic_train,Balle2018,6,0.4987,38.68,0.0441,117.1,0.0216,0.063,0.0441,0.041,
/home/user/tesi/datasets/clic2020/train/benjamin-combs-27619.png,clic_train,Balle2018,4,0.2514,33.9123,0.4024,71.7,0.0224,0.3404,0.344,0.3479,
/home/user/tesi/datasets/clic2020/train/benjamin-combs-28880.png,clic_train,Balle2018,2,0.3151,27.5694,0.1628,71.2,0.0108,0.0674,0.0326,0.0262,
/home/user/tesi/datasets/clic2020/train/benjamin-combs-28896.png,clic_train,Balle2018,6,0.2113,39.971,0.2033,110.6,0.043,0.2137,0.2033,0.1959,
/home/user/tesi/datasets/clic2020/train/bertrand-zuchuat-641.png,clic_train,Balle2018,6,0.3286,39.854,0.1821,115.5,0.0276,0.2141,0.1821,0.1579,
/home/user/tesi/datasets/clic2020/train/beto-galetto-200.png,clic_train,Balle2018,6,0.4546,37.3842,0.241,49.5,0.0237,0.2806,0.241,0.2407,
/home/user/tesi/datasets/clic2020/train/biegun-wschodni-8636.png,clic_train,Balle2018,2,0.1594,29.1858,0.4885,55.9,0.0416,0.2021,0.4885,0.1446,
/home/user/tesi/datasets/clic2020/train/bino-storyteller-33047.png,clic_train,Balle2018,6,0.4782,36.8159,0.281,116.0,0.0171,0.31,0.281,0.3034,
/home/user/tesi/datasets/clic2020/train/bjorn-simon-418.png,clic_train,Balle2018,4,0.1884,35.0625,0.4086,48.4,0.0182,0.3721,0.4086,0.3061,
/home/user/tesi/datasets/clic2020/train/blake-richard-verdoorn-21434.png,clic_train,Balle2018,6,0.3678,38.8831,0.1847,114.3,0.0229,0.1969,0.1847,0.1761,
/home/user/tesi/datasets/clic2020/train/blake-richard-verdoorn-25009.png,clic_train,Balle2018,6,0.1154,42.9247,0.2157,110.2,0.0278,0.1814,0.2157,0.2139,
/home/user/tesi/datasets/clic2020/train/bonnie-meisels-437.png,clic_train,Balle2018,2,0.2834,28.4275,0.1844,70.1,0.005,0.0988,0.0456,0.0401,
/home/user/tesi/datasets/clic2020/train/brandon-lam-29892.png,clic_train,Balle2018,6,0.303,40.3979,0.1206,112.5,0.0172,0.1143,0.1206,0.1074,
/home/user/tesi/datasets/clic2020/train/brian-erickson-54417.png,clic_train,Balle2018,4,0.103,38.3299,0.2296,54.7,0.0378,0.1453,0.2296,0.1863,
/home/user/tesi/datasets/clic2020/train/brownie-768.png,clic_train,Balle2018,2,0.3967,25.7798,0.4713,42.9,0.0262,0.1464,0.0382,0.0372,
/home/user/tesi/datasets/clic2020/train/buzo-jesus-190.png,clic_train,JPEG,30,0.4156,33.8879,0.0953,70.3,0.0105,0.1356,0.1262,0.12,
/home/user/tesi/datasets/clic2020/train/c-ma-435.png,clic_train,Balle2018,6,0.4673,38.4132,0.0578,17.3,0.0081,0.0773,0.0578,0.0498,
/home/user/tesi/datasets/clic2020/train/caleb-george-480.png,clic_train,Balle2018,4,0.3071,34.3155,0.1884,45.4,0.024,0.141,0.1105,0.0918,
/home/user/tesi/datasets/clic2020/train/caleb-ralston-21604.png,clic_train,JPEG,30,0.3485,32.0921,0.2805,50.2,0.0298,0.1607,0.1638,0.1127,
/home/user/tesi/datasets/clic2020/train/cameron-kirby-49742.png,clic_train,Balle2018,6,0.2588,39.5542,0.1554,112.5,0.0328,0.1604,0.1554,0.1559,
