file,dataset,codec,param,pesq,stoi,sdr,mel_dist,duration_s
4-198962-B-25,esc50,WavTokenizer,0.9,1.2783,0.8489,0.4347,0.5945,5.0
4-218199-F-35,esc50,WavTokenizer,0.9,1.3811,0.3974,0.419,0.5812,5.0
4-59579-A-20,esc50,WavTokenizer,0.9,1.5689,0.5599,-1.7843,1.1569,5.0
5-117120-A-42,esc50,WavTokenizer,0.9,1.3335,0.1429,-1.8957,1.6329,5.0
5-133989-A-42,esc50,WavTokenizer,0.9,1.1737,0.1229,3.1221,1.3076,5.0
5-197121-B-45,esc50,WavTokenizer,0.9,1.4787,0.5938,-1.3042,0.5585,5.0
5-204604-A-24,esc50,WavTokenizer,0.9,1.8271,0.7743,0.1531,3.8429,5.0
5-212454-A-0,esc50,WavTokenizer,0.9,1.3996,0.7299,-0.255,0.9523,5.0
5-235874-A-28,esc50,WavTokenizer,0.9,1.3039,0.6848,1.7794,1.0243,5.0
5-253094-C-49,esc50,WavTokenizer,0.9,1.5156,0.7277,-1.7799,0.6398,5.0
5-61635-A-8,esc50,WavTokenizer,0.9,1.4932,0.4167,-2.1572,0.7028,5.0
5338-284437-0000,librispeech,WavTokenizer,0.9,1.5429,0.8377,1.0073,1.5786,4.55
5338-284437-0007,librispeech,WavTokenizer,0.9,1.7352,0.8713,1.9885,1.5959,3.7
5338-284437-0033,librispeech,WavTokenizer,0.9,1.7479,0.8585,-0.7785,1.6294,2.08
5536-43359-0018,librispeech,WavTokenizer,0.9,1.9656,0.804,2.8721,1.523,5.98
5536-43363-0014,librispeech,WavTokenizer,0.9,1.9745,0.8562,3.1174,1.4794,10.0
5694-64029-0017,librispeech,WavTokenizer,0.9,1.7303,0.8473,0.7135,1.5803,2.87
5895-34615-0017,librispeech,WavTokenizer,0.9,1.7462,0.8579,-1.8002,1.5496,7.36
5895-34629-0023,librispeech,WavTokenizer,0.9,1.7356,0.8813,-0.8811,1.5945,7.89
6241-61946-0005,librispeech,WavTokenizer,0.9,1.8892,0.8356,-1.0275,1.5209,2.95
6241-61946-0008,librispeech,WavTokenizer,0.9,1.7767,0.8261,-1.1417,1.4656,4.29
6313-66125-0015,librispeech,WavTokenizer,0.9,1.6537,0.8405,-0.854,1.602,8.23
6313-66125-0024,librispeech,WavTokenizer,0.9,1.7566,0.8237,-1.3662,1.6469,4.41
6313-66129-0014,librispeech,WavTokenizer,0.9,1.5,0.8382,-1.1841,1.6017,10.0
6313-66129-0030,librispeech,WavTokenizer,0.9,1.6192,0.7872,-0.0122,1.5759,3.44
6313-76958-0017,librispeech,WavTokenizer,0.9,1.494,0.8173,-1.3225,1.5793,5.05
6345-93306-0005,librispeech,WavTokenizer,0.9,1.6537,0.8214,-0.2908,1.6387,4.51
