file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-172649-A-40.wav,esc50,Opus,12.0,11.54,1.0,3.2095,3.5,33.54,OK
1-172649-B-40.wav,esc50,Opus,24.0,22.36,3.1381,3.3119,1.3619,35.81,OK
1-172649-C-40.wav,esc50,Opus,12.0,12.02,1.0,2.9451,3.5,32.54,OK
1-172649-D-40.wav,esc50,DAC,8.0,8.0,4.2881,1.7626,0.2119,16.18,OK
1-172649-E-40.wav,esc50,Opus,24.0,22.84,3.4403,3.1762,1.0597,35.83,OK
1-172649-F-40.wav,esc50,Opus,24.0,22.2,3.5606,3.2315,0.9394,35.99,OK
1-17295-A-29.wav,esc50,Opus,24.0,21.7,4.3366,2.7361,0.1634,34.93,OK
1-17367-A-10.wav,esc50,Opus,12.0,11.29,1.0,3.1427,3.5,32.94,OK
1-17565-A-12.wav,esc50,Opus,24.0,22.73,4.115,3.1478,0.385,35.01,OK
1-17585-A-7.wav,esc50,Opus,24.0,22.25,4.0002,3.7825,0.4998,26.32,OK
1-17742-A-12.wav,esc50,Opus,24.0,20.9,3.6955,3.5955,0.8045,35.69,OK
1-17808-A-12.wav,esc50,Opus,24.0,22.01,3.1448,3.2554,1.3552,35.48,OK
1-17808-B-12.wav,esc50,Opus,12.0,10.93,1.0,3.3692,3.5,33.0,OK
1-1791-A-26.wav,esc50,Opus,24.0,15.01,4.0284,1.932,0.4716,32.32,OK
1-17970-A-4.wav,esc50,Opus,12.0,12.82,3.7689,3.6522,0.7311,34.07,OK
1-18074-A-6.wav,esc50,Opus,24.0,22.63,4.3865,1.8701,0.1135,21.6,OK
1-18074-B-6.wav,esc50,Opus,24.0,23.21,4.446,1.4705,0.054,25.33,OK
1-181071-A-40.wav,esc50,Opus,12.0,12.44,3.2919,3.2431,1.2081,33.03,OK
1-181071-B-40.wav,esc50,Opus,24.0,23.5,3.9976,2.7495,0.5024,35.63,OK
1-18527-A-44.wav,esc50,Opus,12.0,11.75,1.0,3.1094,3.5,41.47,OK
1-18527-B-44.wav,esc50,Opus,12.0,11.87,1.0,2.8817,3.5,32.27,OK
1-18631-A-23.wav,esc50,Opus,24.0,23.04,4.2843,2.486,0.2157,35.41,OK
1-18655-A-31.wav,esc50,Opus,24.0,11.52,3.3679,1.4822,1.1321,15.02,OK
1-187207-A-20.wav,esc50,DAC,8.0,8.0,4.2789,2.7639,0.2211,19.52,OK
1-18755-A-4.wav,esc50,Opus,12.0,13.01,3.4325,3.1371,1.0675,33.2,OK
1-18755-B-4.wav,esc50,Opus,12.0,12.96,3.2643,3.3857,1.2357,34.46,OK
1-18757-A-4.wav,esc50,Opus,12.0,13.13,3.1591,3.1253,1.3409,33.53,OK
1-18810-A-49.wav,esc50,Opus,24.0,23.28,4.1301,2.1929,0.3699,21.92,OK
1-19026-A-43.wav,esc50,Opus,48.0,22.73,4.4719,1.5883,0.0281,15.86,OK
1-19111-A-24.wav,esc50,Opus,24.0,12.58,4.3683,1.2451,0.1317,31.26,OK
1-19118-A-24.wav,esc50,Opus,48.0,8.43,4.1645,1.011,0.3355,15.4,OK
1-19501-A-7.wav,esc50,Opus,24.0,13.22,4.357,1.7662,0.143,32.33,OK
