codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path,codec_label,reference_preset
x264,AVC,ReadySteadyGo,LDP,medium,crf=22,600,0,1,17.701,98.654,38.011,41.339,41.459,38.858,0.96295,0.99027,2.014,215.015,0.0,215.015,24.23,36.18,0.281,16.983,0.0,16.983,24.57,35.93,231.998,0.0,231.998,0.232,0.387,/home/user/tesi/bitstreams_video/x264_ReadySteadyGo_LDP_crf22.264,x264 medium,medium
x264,AVC,ReadySteadyGo,LDP,medium,crf=27,600,0,1,9.893,89.974,34.916,39.89,40.106,36.187,0.93598,0.97983,1.621,165.406,0.0,165.406,24.22,35.69,0.237,13.764,0.0,13.764,24.66,35.6,179.17,0.0,179.17,0.1792,0.299,/home/user/tesi/bitstreams_video/x264_ReadySteadyGo_LDP_crf27.264,x264 medium,medium
x264,AVC,ReadySteadyGo,LDP,medium,crf=32,600,0,1,5.766,73.598,31.969,38.65,38.968,33.679,0.89307,0.95931,1.414,138.666,0.0,138.666,24.18,35.95,0.204,11.171,0.0,11.171,24.71,36.19,149.837,0.0,149.837,0.1498,0.25,/home/user/tesi/bitstreams_video/x264_ReadySteadyGo_LDP_crf32.264,x264 medium,medium
x264,AVC,ReadySteadyGo,LDP,medium,crf=37,600,0,1,3.515,53.938,29.105,37.608,37.98,31.277,0.8328,0.9208,1.292,120.288,0.0,120.288,24.19,35.92,0.188,9.994,0.0,9.994,24.53,36.23,130.282,0.0,130.282,0.1303,0.217,/home/user/tesi/bitstreams_video/x264_ReadySteadyGo_LDP_crf37.264,x264 medium,medium
x264,AVC,ShakeNDry,LDP,medium,crf=22,300,0,1,17.212,82.297,38.066,41.05,41.781,38.903,0.93963,0.98111,0.995,99.941,0.0,99.941,24.36,36.43,0.182,5.62,0.0,5.62,24.45,35.92,105.561,0.0,105.561,0.1056,0.352,/home/user/tesi/bitstreams_video/x264_ShakeNDry_LDP_crf22.264,x264 medium,medium
x264,AVC,ShakeNDry,LDP,medium,crf=27,300,0,1,6.551,67.464,35.231,39.595,40.699,36.46,0.89687,0.95941,0.742,66.385,0.0,66.385,24.29,35.68,0.131,3.796,0.0,3.796,24.42,35.95,70.181,0.0,70.181,0.0702,0.234,/home/user/tesi/bitstreams_video/x264_ShakeNDry_LDP_crf27.264,x264 medium,medium
x264,AVC,ShakeNDry,LDP,medium,crf=32,300,0,1,2.21,47.443,32.544,38.238,39.631,34.141,0.83829,0.92098,0.644,50.29,0.0,50.29,24.23,36.11,0.106,3.047,0.0,3.047,24.39,36.41,53.337,0.0,53.337,0.0533,0.178,/home/user/tesi/bitstreams_video/x264_ShakeNDry_LDP_crf32.264,x264 medium,medium
x264,AVC,ShakeNDry,LDP,medium,crf=37,300,0,1,1.103,27.96,30.068,37.177,38.723,32.039,0.76707,0.86607,0.627,44.596,0.0,44.596,24.25,36.32,0.101,2.8,0.0,2.8,24.29,36.12,47.396,0.0,47.396,0.0474,0.158,/home/user/tesi/bitstreams_video/x264_ShakeNDry_LDP_crf37.264,x264 medium,medium
x264,AVC,YachtRide,LDP,medium,crf=22,600,0,1,26.538,86.454,37.369,42.317,41.35,38.485,0.9488,0.98261,2.616,283.046,0.0,283.046,24.18,36.18,0.329,21.698,0.0,21.698,25.21,40.22,304.744,0.0,304.744,0.3047,0.508,/home/user/tesi/bitstreams_video/x264_YachtRide_LDP_crf22.264,x264 medium,medium
x264,AVC,YachtRide,LDP,medium,crf=27,600,0,1,12.643,70.793,34.184,41.205,40.15,35.807,0.90804,0.96174,1.964,206.079,0.0,206.079,24.58,35.69,0.251,16.097,0.0,16.097,25.09,38.02,222.176,0.0,222.176,0.2222,0.37,/home/user/tesi/bitstreams_video/x264_YachtRide_LDP_crf27.264,x264 medium,medium
