codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
x264,Beauty,LDP,medium,crf=22,encode,600,1.725,182.568,0.0,182.568,24.36,36.22,10.396,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf22.264
x264,Beauty,LDP,medium,crf=22,decode,600,0.249,13.306,0.0,13.306,24.63,35.9,10.396,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf22.264
x264,Beauty,LDP,medium,crf=27,encode,600,1.404,132.213,0.0,132.213,24.38,35.82,4.645,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf27.264
x264,Beauty,LDP,medium,crf=27,decode,600,0.19,9.715,0.0,9.715,24.52,36.14,4.645,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf27.264
x264,Beauty,LDP,medium,crf=32,encode,600,1.321,116.213,0.0,116.213,24.2,36.31,2.639,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf32.264
x264,Beauty,LDP,medium,crf=32,decode,600,0.174,8.275,0.0,8.275,24.73,36.14,2.639,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf32.264
x264,Beauty,LDP,medium,crf=37,encode,600,1.273,105.314,0.0,105.314,24.25,36.56,1.575,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf37.264
x264,Beauty,LDP,medium,crf=37,decode,600,0.162,7.421,0.0,7.421,24.55,36.47,1.575,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf37.264
x264,Beauty,RA,medium,crf=22,encode,600,6.036,492.1,0.0,492.1,24.23,36.09,10.856,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf22.264
x264,Beauty,RA,medium,crf=22,decode,600,0.257,16.067,0.0,16.067,24.76,37.34,10.856,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf22.264
x264,Beauty,RA,medium,crf=27,encode,600,5.652,410.889,0.0,410.889,24.25,36.13,5.054,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf27.264
x264,Beauty,RA,medium,crf=27,decode,600,0.21,12.205,0.0,12.205,24.48,36.08,5.054,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf27.264
x264,Beauty,RA,medium,crf=32,encode,600,5.503,372.241,0.0,372.241,24.23,36.21,2.758,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf32.264
x264,Beauty,RA,medium,crf=32,decode,600,0.199,10.984,0.0,10.984,24.53,36.27,2.758,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf32.264
x264,Beauty,RA,medium,crf=37,encode,600,5.379,340.561,0.0,340.561,24.26,36.36,1.515,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf37.264
x264,Beauty,RA,medium,crf=37,decode,600,0.186,9.454,0.0,9.454,24.46,36.29,1.515,/home/user/tesi/bitstreams_video/x264_Beauty_RA_crf37.264
x264,Bosphorus,LDP,medium,crf=22,encode,600,1.75,182.321,0.0,182.321,24.48,36.24,9.793,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf22.264
x264,Bosphorus,LDP,medium,crf=22,decode,600,0.243,14.534,0.0,14.534,24.56,36.21,9.793,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf22.264
x264,Bosphorus,LDP,medium,crf=27,encode,600,1.345,130.272,0.0,130.272,24.23,36.22,4.577,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf27.264
x264,Bosphorus,LDP,medium,crf=27,decode,600,0.201,11.094,0.0,11.094,24.49,35.78,4.577,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf27.264
x264,Bosphorus,LDP,medium,crf=32,encode,600,1.227,110.331,0.0,110.331,24.17,35.57,2.394,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf32.264
x264,Bosphorus,LDP,medium,crf=32,decode,600,0.177,9.302,0.0,9.302,24.59,35.91,2.394,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf32.264
x264,Bosphorus,LDP,medium,crf=37,encode,600,1.185,100.265,0.0,100.265,24.22,36.29,1.378,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf37.264
