codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
vvenc,YachtRide,LDP,medium,crf=33,75.889,35.232,44.059,42.859,37.289,0.93079,0.97146,600
vvenc,YachtRide,LDP,medium,crf=39,57.582,32.229,42.301,40.97,34.58,0.88174,0.94151,600
vvenc,YachtRide,LDP,medium,crf=45,41.105,30.089,40.961,39.445,32.618,0.82518,0.89353,600
vvenc,YachtRide,RA,medium,crf=27,91.834,39.329,45.937,44.801,40.839,0.96641,0.98884,600
vvenc,YachtRide,RA,medium,crf=33,75.889,35.232,44.059,42.859,37.289,0.93079,0.97146,600
vvenc,YachtRide,RA,medium,crf=39,57.582,32.229,42.301,40.97,34.58,0.88174,0.94151,600
vvenc,YachtRide,RA,medium,crf=45,41.105,30.089,40.961,39.445,32.618,0.82518,0.89353,600
vvenc,Beauty,LDP,faster,crf=27,83.979,39.296,39.381,41.769,39.616,0.90686,0.97718,600
vvenc,Beauty,LDP,faster,crf=33,72.47,38.257,39.204,41.457,38.775,0.89721,0.97103,600
vvenc,Beauty,LDP,faster,crf=39,58.497,36.903,38.94,41.017,37.672,0.88559,0.96131,600
vvenc,Beauty,LDP,faster,crf=45,40.015,34.981,38.565,40.409,36.107,0.87046,0.94421,600
vvenc,Beauty,LDP,slow,crf=27,85.628,39.448,39.418,41.82,39.74,0.90824,0.97788,600
vvenc,Beauty,LDP,slow,crf=33,75.486,38.555,39.256,41.537,39.016,0.89989,0.97267,600
vvenc,Beauty,LDP,slow,crf=39,62.821,37.341,39.03,41.129,38.026,0.8894,0.96432,600
vvenc,Beauty,LDP,slow,crf=45,44.733,35.435,38.68,40.586,36.484,0.87439,0.94851,600
vvenc,Beauty,RA,faster,crf=27,83.979,39.296,39.381,41.769,39.616,0.90686,0.97718,600
vvenc,Beauty,RA,faster,crf=33,72.47,38.257,39.204,41.457,38.775,0.89721,0.97103,600
vvenc,Beauty,RA,faster,crf=39,58.497,36.903,38.94,41.017,37.672,0.88559,0.96131,600
vvenc,Beauty,RA,faster,crf=45,40.015,34.981,38.565,40.409,36.107,0.87046,0.94421,600
vvenc,Beauty,RA,slow,crf=27,85.628,39.448,39.418,41.82,39.74,0.90824,0.97788,600
vvenc,Beauty,RA,slow,crf=33,75.486,38.555,39.256,41.537,39.016,0.89989,0.97267,600
vvenc,Beauty,RA,slow,crf=39,62.821,37.341,39.03,41.129,38.026,0.8894,0.96432,600
vvenc,Beauty,RA,slow,crf=45,44.733,35.435,38.68,40.586,36.484,0.87439,0.94851,600
vvenc,Bosphorus,LDP,faster,crf=27,91.326,43.192,48.725,47.85,44.466,0.97698,0.99295,600
vvenc,Bosphorus,LDP,faster,crf=33,83.957,40.495,47.122,46.393,42.06,0.96209,0.98637,600
vvenc,Bosphorus,LDP,faster,crf=39,73.508,38.055,45.41,44.739,39.81,0.94002,0.97495,600
vvenc,Bosphorus,LDP,faster,crf=45,59.274,35.635,43.492,42.818,37.515,0.90728,0.95382,600
vvenc,Bosphorus,LDP,slow,crf=27,92.818,43.846,49.218,48.272,45.07,0.97931,0.99382,600
vvenc,Bosphorus,LDP,slow,crf=33,86.689,41.248,47.733,46.935,42.77,0.96675,0.98835,600
vvenc,Bosphorus,LDP,slow,crf=39,78.107,38.902,46.177,45.423,40.627,0.94805,0.97898,600
vvenc,Bosphorus,LDP,slow,crf=45,63.798,36.262,44.28,43.482,38.167,0.91675,0.95964,600
vvenc,Bosphorus,RA,faster,crf=27,91.326,43.192,48.725,47.85,44.466,0.97698,0.99295,600
vvenc,Bosphorus,RA,faster,crf=33,83.957,40.495,47.122,46.393,42.06,0.96209,0.98637,600
vvenc,Bosphorus,RA,faster,crf=39,73.508,38.055,45.41,44.739,39.81,0.94002,0.97495,600
vvenc,Bosphorus,RA,faster,crf=45,59.274,35.635,43.492,42.818,37.515,0.90728,0.95382,600
vvenc,Bosphorus,RA,slow,crf=27,92.818,43.846,49.218,48.272,45.07,0.97931,0.99382,600
vvenc,Bosphorus,RA,slow,crf=33,86.689,41.248,47.733,46.935,42.77,0.96675,0.98835,600
vvenc,Bosphorus,RA,slow,crf=39,78.107,38.902,46.177,45.423,40.627,0.94805,0.97898,600
vvenc,Bosphorus,RA,slow,crf=45,63.798,36.262,44.28,43.482,38.167,0.91675,0.95964,600
vvenc,HoneyBee,LDP,faster,crf=27,93.631,43.293,45.052,44.816,43.703,0.97112,0.99404,600
vvenc,HoneyBee,LDP,faster,crf=33,91.111,42.387,43.274,43.79,42.673,0.96734,0.99254,600
vvenc,HoneyBee,LDP,faster,crf=39,86.156,40.996,41.023,42.411,41.176,0.96064,0.9896,600
vvenc,HoneyBee,LDP,faster,crf=45,75.629,38.838,38.07,40.373,38.934,0.94654,0.98228,600
vvenc,HoneyBee,LDP,slow,crf=27,94.072,43.43,45.33,44.966,43.859,0.97163,0.99423,600
vvenc,HoneyBee,LDP,slow,crf=33,92.077,42.668,43.623,43.974,42.95,0.9685,0.99301,600
vvenc,HoneyBee,LDP,slow,crf=39,88.079,41.479,41.536,42.761,41.646,0.96301,0.99065,600
vvenc,HoneyBee,LDP,slow,crf=45,79.003,39.448,38.544,40.993,39.529,0.95086,0.98445,600
vvenc,HoneyBee,RA,faster,crf=27,93.631,43.293,45.052,44.816,43.703,0.97112,0.99404,600
vvenc,HoneyBee,RA,faster,crf=33,91.111,42.387,43.274,43.79,42.673,0.96734,0.99254,600
vvenc,HoneyBee,RA,faster,crf=39,86.156,40.996,41.023,42.411,41.176,0.96064,0.9896,600
vvenc,HoneyBee,RA,faster,crf=45,75.629,38.838,38.07,40.373,38.934,0.94654,0.98228,600
vvenc,HoneyBee,RA,slow,crf=27,94.072,43.43,45.33,44.966,43.859,0.97163,0.99423,600
