codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
dcvc_fm,ShakeNDry,LDP,q=42,decode,300,73.618,1072.161,27679.294,28751.455,29.77,94.87,2.48,
dcvc_fm,ShakeNDry,LDP,q=63,encode,300,95.687,1307.393,35040.658,36348.051,29.9,94.57,14.743,
dcvc_fm,ShakeNDry,LDP,q=63,decode,300,73.558,1095.168,27767.685,28862.853,29.76,93.7,14.743,
dcvc_fm,YachtRide,LDP,q=0,encode,600,196.758,2692.635,70202.654,72895.289,29.79,94.71,0.207,
dcvc_fm,YachtRide,LDP,q=0,decode,600,147.352,2141.142,54517.763,56658.905,29.72,94.22,0.207,
dcvc_fm,YachtRide,LDP,q=21,encode,600,191.621,2592.878,70016.869,72609.747,29.8,95.14,1.043,
dcvc_fm,YachtRide,LDP,q=21,decode,600,147.264,2160.715,55492.181,57652.896,29.77,94.32,1.043,
dcvc_fm,YachtRide,LDP,q=42,encode,600,191.711,2586.11,70100.589,72686.699,29.68,94.93,5.922,
dcvc_fm,YachtRide,LDP,q=42,decode,600,147.309,2144.98,55403.525,57548.505,29.76,94.84,5.922,
dcvc_fm,YachtRide,LDP,q=63,encode,600,191.777,2574.704,70060.58,72635.285,29.7,95.09,22.972,
dcvc_fm,YachtRide,LDP,q=63,decode,600,147.448,2163.704,55560.931,57724.635,29.72,94.39,22.972,
