codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
x265,Beauty,LDP,medium,crf=22,83.981,39.098,39.062,41.214,39.358,0.90339,0.9756,600
x265,Beauty,LDP,medium,crf=27,73.995,38.228,38.695,40.537,38.575,0.89456,0.9702,600
x265,Beauty,LDP,medium,crf=32,59.561,36.694,38.163,39.831,37.27,0.87757,0.95832,600
x265,Beauty,LDP,medium,crf=37,40.464,34.414,37.73,38.965,35.398,0.85152,0.9348,600
x265,Beauty,RA,medium,crf=22,81.43,38.885,38.96,41.189,39.182,0.90105,0.97438,600
x265,Beauty,RA,medium,crf=27,71.725,38.001,38.772,40.723,38.437,0.89241,0.96879,600
x265,Beauty,RA,medium,crf=32,57.962,36.61,38.395,40.196,37.282,0.87857,0.95796,600
x265,Beauty,RA,medium,crf=37,40.976,34.797,38.039,39.597,35.802,0.86262,0.94124,600
x265,Bosphorus,LDP,medium,crf=22,89.76,41.643,44.037,44.059,42.244,0.9659,0.98871,600
x265,Bosphorus,LDP,medium,crf=27,80.028,38.907,42.003,41.973,39.677,0.94363,0.97732,600
x265,Bosphorus,LDP,medium,crf=32,63.863,35.949,40.117,40.104,36.99,0.9058,0.95394,600
x265,Bosphorus,LDP,medium,crf=37,44.378,32.973,38.953,38.614,34.426,0.85087,0.91207,600
x265,Bosphorus,RA,medium,crf=22,88.396,41.724,45.114,45.021,42.56,0.96782,0.9895,600
x265,Bosphorus,RA,medium,crf=27,80.157,39.311,43.366,43.346,40.322,0.9494,0.98044,600
x265,Bosphorus,RA,medium,crf=32,67.059,36.757,41.846,41.7,38.011,0.91994,0.96328,600
x265,Bosphorus,RA,medium,crf=37,50.136,34.132,40.781,40.518,35.762,0.87751,0.93283,600
x265,HoneyBee,LDP,medium,crf=22,87.65,41.246,40.906,42.238,41.328,0.96037,0.99029,600
x265,HoneyBee,LDP,medium,crf=27,77.601,39.271,38.336,40.137,39.262,0.94727,0.98401,600
x265,HoneyBee,LDP,medium,crf=32,64.775,36.871,36.563,38.492,37.035,0.9245,0.97188,600
x265,HoneyBee,LDP,medium,crf=37,46.13,34.04,35.415,38.401,34.757,0.88849,0.9468,600
x265,HoneyBee,RA,medium,crf=22,89.627,41.984,42.88,43.418,42.275,0.96442,0.99178,600
x265,HoneyBee,RA,medium,crf=27,84.199,40.625,40.825,42.078,40.832,0.95698,0.98839,600
x265,HoneyBee,RA,medium,crf=32,75.092,38.678,38.633,40.616,38.914,0.94307,0.98137,600
x265,HoneyBee,RA,medium,crf=37,59.983,36.194,37.002,39.505,36.709,0.91822,0.96655,600
x265,Jockey,LDP,medium,crf=22,95.731,41.926,43.451,43.373,42.298,0.95796,0.98759,600
x265,Jockey,LDP,medium,crf=27,87.471,40.064,41.678,41.775,40.48,0.94672,0.98001,600
x265,Jockey,LDP,medium,crf=32,73.404,37.47,40.14,40.307,38.158,0.9249,0.96347,600
x265,Jockey,LDP,medium,crf=37,55.562,34.407,38.346,38.492,35.41,0.89131,0.93145,600
x265,Jockey,RA,medium,crf=22,94.535,41.772,43.51,43.419,42.195,0.95718,0.98701,600
x265,Jockey,RA,medium,crf=27,85.835,39.927,42.014,42.057,40.454,0.94602,0.97922,600
x265,Jockey,RA,medium,crf=32,71.922,37.541,40.63,40.666,38.318,0.92769,0.96393,600
x265,Jockey,RA,medium,crf=37,54.454,34.809,39.163,39.098,35.89,0.90386,0.93752,600
x265,ReadySteadyGo,LDP,medium,crf=22,99.66,40.076,42.098,42.138,40.586,0.97232,0.99292,600
x265,ReadySteadyGo,LDP,medium,crf=27,96.317,37.043,39.78,40.017,37.757,0.95292,0.98568,600
x265,ReadySteadyGo,LDP,medium,crf=32,83.127,33.869,37.66,38.089,34.87,0.91742,0.97025,600
x265,ReadySteadyGo,LDP,medium,crf=37,63.223,30.567,35.664,36.426,31.936,0.85599,0.93744,600
x265,ReadySteadyGo,RA,medium,crf=22,99.277,39.895,42.612,42.69,40.584,0.97249,0.99271,600
x265,ReadySteadyGo,RA,medium,crf=27,95.051,37.003,40.507,40.785,37.914,0.95465,0.9858,600
x265,ReadySteadyGo,RA,medium,crf=32,82.028,33.958,38.527,38.999,35.16,0.92339,0.97154,600
x265,ReadySteadyGo,RA,medium,crf=37,63.765,30.899,36.83,37.464,32.461,0.87423,0.94369,600
x265,ShakeNDry,LDP,medium,crf=22,85.649,39.394,41.134,41.835,39.916,0.95323,0.98624,300
x265,ShakeNDry,LDP,medium,crf=27,73.761,36.811,39.09,40.355,37.539,0.92361,0.9719,300
x265,ShakeNDry,LDP,medium,crf=32,55.928,34.013,37.47,39.246,35.099,0.8731,0.94277,300
x265,ShakeNDry,LDP,medium,crf=37,34.911,31.15,36.284,38.354,32.692,0.79837,0.88943,300
x265,ShakeNDry,RA,medium,crf=22,83.988,39.155,41.98,42.487,39.924,0.9508,0.9843,300
x265,ShakeNDry,RA,medium,crf=27,74.141,36.866,40.29,41.126,37.827,0.92474,0.97062,300
x265,ShakeNDry,RA,medium,crf=32,60.636,34.536,38.718,39.997,35.741,0.88678,0.94683,300
x265,ShakeNDry,RA,medium,crf=37,44.719,32.319,37.528,39.173,33.827,0.83908,0.91265,300
x265,YachtRide,LDP,medium,crf=22,90.828,39.255,42.584,41.841,39.994,0.96169,0.98714,600
x265,YachtRide,LDP,medium,crf=27,79.409,36.147,40.725,39.871,37.185,0.93229,0.97277,600
x265,YachtRide,LDP,medium,crf=32,61.609,33.028,39.308,38.202,34.459,0.88046,0.94241,600
x265,YachtRide,LDP,medium,crf=37,41.537,30.02,38.26,36.85,31.904,0.80401,0.88744,600
x265,YachtRide,RA,medium,crf=22,87.244,38.352,43.041,42.174,39.416,0.95672,0.9846,600
x265,YachtRide,RA,medium,crf=27,74.826,35.429,41.486,40.548,36.826,0.92652,0.96917,600
x265,YachtRide,RA,medium,crf=32,57.909,32.65,40.204,39.133,34.404,0.87931,0.94055,600
x265,YachtRide,RA,medium,crf=37,39.999,30.145,39.283,37.94,32.262,0.81758,0.89415,600
x265,Beauty,LDP,faster,crf=22,83.359,39.08,39.048,41.199,39.34,0.90323,0.97551,600
