codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
x265,Beauty,LDP,faster,crf=27,73.352,38.213,38.659,40.478,38.552,0.89448,0.97015,600
x265,Beauty,LDP,faster,crf=32,59.169,36.706,38.17,39.809,37.277,0.87769,0.95825,600
x265,Beauty,LDP,faster,crf=37,40.81,34.535,37.717,38.91,35.48,0.85373,0.93595,600
x265,Beauty,LDP,slow,crf=22,86.281,39.219,39.098,41.223,39.454,0.90438,0.9764,600
x265,Beauty,LDP,slow,crf=27,77.201,38.39,38.687,40.523,38.694,0.89553,0.97113,600
x265,Beauty,LDP,slow,crf=32,63.083,36.888,38.18,39.888,37.424,0.87875,0.95989,600
x265,Beauty,LDP,slow,crf=37,43.518,34.683,37.759,38.977,35.604,0.85367,0.93755,600
x265,Beauty,RA,faster,crf=22,79.866,38.842,38.952,41.167,39.146,0.9007,0.97418,600
x265,Beauty,RA,faster,crf=27,69.693,37.943,38.781,40.723,38.395,0.89214,0.96852,600
x265,Beauty,RA,faster,crf=32,55.587,36.565,38.445,40.24,37.259,0.8789,0.95776,600
x265,Beauty,RA,faster,crf=37,38.793,34.742,38.081,39.65,35.773,0.86298,0.94078,600
x265,Beauty,RA,slow,crf=22,84.485,39.087,39.08,41.247,39.356,0.90318,0.97579,600
x265,Beauty,RA,slow,crf=27,75.761,38.251,38.791,40.721,38.627,0.89446,0.9704,600
x265,Beauty,RA,slow,crf=32,62.613,36.948,38.367,40.186,37.53,0.88145,0.96066,600
x265,Beauty,RA,slow,crf=37,45.133,35.258,38.025,39.517,36.136,0.86633,0.94557,600
x265,Bosphorus,LDP,faster,crf=22,89.286,41.506,44.029,44.031,42.137,0.96515,0.98843,600
x265,Bosphorus,LDP,faster,crf=27,79.583,38.846,42.008,41.982,39.633,0.94313,0.97713,600
x265,Bosphorus,LDP,faster,crf=32,63.72,35.956,40.187,40.114,37.005,0.90583,0.95421,600
x265,Bosphorus,LDP,faster,crf=37,44.635,32.999,38.953,38.619,34.446,0.85053,0.91241,600
x265,Bosphorus,LDP,slow,crf=22,91.876,41.979,43.967,43.999,42.48,0.96723,0.98947,600
x265,Bosphorus,LDP,slow,crf=27,82.943,39.176,42.043,42.015,39.889,0.94481,0.97816,600
x265,Bosphorus,LDP,slow,crf=32,67.524,36.282,40.147,40.175,37.251,0.9088,0.95669,600
x265,Bosphorus,LDP,slow,crf=37,48.418,33.361,38.839,38.556,34.695,0.85692,0.91893,600
x265,Bosphorus,RA,faster,crf=22,84.853,40.744,44.966,44.831,41.783,0.96244,0.987,600
x265,Bosphorus,RA,faster,crf=27,75.444,38.485,43.32,43.258,39.686,0.94285,0.97698,600
x265,Bosphorus,RA,faster,crf=32,62.024,36.163,41.869,41.718,37.571,0.91344,0.95921,600
x265,Bosphorus,RA,faster,crf=37,45.59,33.801,40.787,40.534,35.516,0.87344,0.92944,600
x265,Bosphorus,RA,slow,crf=22,90.794,42.227,45.043,44.99,42.924,0.97028,0.99077,600
x265,Bosphorus,RA,slow,crf=27,83.847,39.81,43.275,43.267,40.675,0.95276,0.9825,600
x265,Bosphorus,RA,slow,crf=32,71.754,37.222,41.728,41.608,38.333,0.92417,0.9665,600
x265,Bosphorus,RA,slow,crf=37,54.122,34.582,40.502,40.328,36.04,0.88333,0.93802,600
x265,HoneyBee,LDP,faster,crf=22,87.668,41.241,40.792,42.231,41.309,0.96035,0.9903,600
x265,HoneyBee,LDP,faster,crf=27,77.48,39.254,38.154,40.15,39.229,0.94708,0.98391,600
x265,HoneyBee,LDP,faster,crf=32,64.45,36.886,36.36,38.442,37.015,0.92478,0.972,600
x265,HoneyBee,LDP,faster,crf=37,46.0,34.08,35.157,38.302,34.743,0.88846,0.94702,600
x265,HoneyBee,LDP,slow,crf=22,89.212,41.302,40.882,42.196,41.361,0.96051,0.99043,600
x265,HoneyBee,LDP,slow,crf=27,79.802,39.436,38.324,40.169,39.389,0.94778,0.98453,600
x265,HoneyBee,LDP,slow,crf=32,65.529,36.99,35.996,38.176,37.014,0.92441,0.97218,600
x265,HoneyBee,LDP,slow,crf=37,48.001,34.1,34.393,37.118,34.514,0.88246,0.94627,600
x265,HoneyBee,RA,faster,crf=22,88.585,41.744,42.456,43.158,42.01,0.96341,0.99135,600
x265,HoneyBee,RA,faster,crf=27,82.439,40.286,40.546,41.905,40.521,0.95513,0.98754,600
x265,HoneyBee,RA,faster,crf=32,72.347,38.228,38.344,40.425,38.517,0.93946,0.97952,600
x265,HoneyBee,RA,faster,crf=37,55.832,35.642,36.654,39.267,36.222,0.91158,0.96244,600
x265,HoneyBee,RA,slow,crf=22,91.426,42.169,42.847,43.384,42.406,0.96512,0.99213,600
x265,HoneyBee,RA,slow,crf=27,86.074,40.791,40.702,42.005,40.932,0.95753,0.98872,600
x265,HoneyBee,RA,slow,crf=32,77.397,38.865,38.4,40.456,39.006,0.9436,0.98181,600
x265,HoneyBee,RA,slow,crf=37,62.205,36.422,36.679,39.273,36.81,0.91928,0.96742,600
x265,Jockey,LDP,faster,crf=22,95.452,41.865,43.433,43.344,42.246,0.9578,0.98749,600
x265,Jockey,LDP,faster,crf=27,86.909,40.01,41.703,41.796,40.445,0.94663,0.97993,600
x265,Jockey,LDP,faster,crf=32,73.077,37.493,40.268,40.355,38.198,0.92612,0.96405,600
x265,Jockey,LDP,faster,crf=37,55.42,34.557,38.523,38.648,35.564,0.89622,0.93422,600
x265,Jockey,LDP,slow,crf=22,96.733,42.113,43.503,43.43,42.451,0.95843,0.98803,600
x265,Jockey,LDP,slow,crf=27,90.419,40.343,41.766,41.877,40.713,0.94747,0.98099,600
x265,Jockey,LDP,slow,crf=32,77.548,37.858,40.238,40.422,38.476,0.92639,0.96562,600
x265,Jockey,LDP,slow,crf=37,60.085,34.914,38.459,38.664,35.826,0.89439,0.93575,600
x265,Jockey,RA,faster,crf=22,92.37,41.331,43.139,43.036,41.77,0.955,0.98577,600
x265,Jockey,RA,faster,crf=27,82.107,39.35,41.642,41.674,39.927,0.94247,0.9769,600
x265,Jockey,RA,faster,crf=32,67.335,36.889,40.344,40.318,37.749,0.9231,0.95981,600
x265,Jockey,RA,faster,crf=37,50.177,34.139,38.826,38.758,35.302,0.89894,0.93083,600
x265,Jockey,RA,slow,crf=22,96.28,42.069,43.633,43.532,42.447,0.9583,0.98792,600
x265,Jockey,RA,slow,crf=27,90.112,40.393,42.155,42.207,40.84,0.94812,0.98127,600
x265,Jockey,RA,slow,crf=32,77.357,38.163,40.798,40.817,38.824,0.93114,0.96796,600
x265,Jockey,RA,slow,crf=37,59.744,35.569,39.273,39.273,36.495,0.9093,0.94491,600
x265,ReadySteadyGo,LDP,faster,crf=22,99.585,39.967,42.088,42.111,40.5,0.97186,0.99276,600
x265,ReadySteadyGo,LDP,faster,crf=27,96.027,36.961,39.827,40.021,37.701,0.95232,0.98543,600
x265,ReadySteadyGo,LDP,faster,crf=32,82.73,33.834,37.82,38.215,34.88,0.91722,0.97008,600
x265,ReadySteadyGo,LDP,faster,crf=37,63.173,30.608,35.978,36.583,32.026,0.85792,0.9385,600
x265,ReadySteadyGo,LDP,slow,crf=22,99.847,40.564,42.117,42.143,40.956,0.97405,0.99363,600
x265,ReadySteadyGo,LDP,slow,crf=27,97.935,37.499,39.813,40.048,38.107,0.95547,0.98699,600
x265,ReadySteadyGo,LDP,slow,crf=32,87.044,34.313,37.722,38.219,35.228,0.92107,0.97276,600
x265,ReadySteadyGo,LDP,slow,crf=37,67.989,31.062,35.655,36.459,32.311,0.86297,0.94329,600
x265,ReadySteadyGo,RA,faster,crf=22,98.332,38.851,41.793,41.93,39.604,0.96705,0.99076,600
x265,ReadySteadyGo,RA,faster,crf=27,90.849,35.916,39.79,40.09,36.922,0.94498,0.98184,600
x265,ReadySteadyGo,RA,faster,crf=32,75.42,32.842,38.037,38.478,34.196,0.90716,0.96357,600
x265,ReadySteadyGo,RA,faster,crf=37,55.969,29.801,36.524,37.045,31.547,0.85086,0.92923,600
x265,ReadySteadyGo,RA,slow,crf=22,99.761,40.628,42.766,42.8,41.167,0.97519,0.99378,600
x265,ReadySteadyGo,RA,slow,crf=27,97.579,37.767,40.587,40.839,38.503,0.95928,0.98796,600
x265,ReadySteadyGo,RA,slow,crf=32,87.536,34.74,38.547,38.998,35.748,0.93062,0.97574,600
x265,ReadySteadyGo,RA,slow,crf=37,69.732,31.655,36.731,37.41,33.009,0.88393,0.95121,600
x265,ShakeNDry,LDP,faster,crf=22,85.221,39.305,41.123,41.824,39.847,0.95255,0.9859,300
x265,ShakeNDry,LDP,faster,crf=27,73.28,36.743,39.078,40.347,37.486,0.92282,0.97135,300
x265,ShakeNDry,LDP,faster,crf=32,55.662,33.997,37.438,39.239,35.083,0.8726,0.94236,300
x265,ShakeNDry,LDP,faster,crf=37,35.228,31.187,36.308,38.416,32.731,0.80012,0.8906,300
x265,ShakeNDry,LDP,slow,crf=22,88.974,39.866,40.976,41.703,40.234,0.95753,0.98835,300
x265,ShakeNDry,LDP,slow,crf=27,78.083,37.218,38.979,40.274,37.82,0.92912,0.9754,300
x265,ShakeNDry,LDP,slow,crf=32,59.661,34.235,37.247,39.142,35.225,0.87638,0.94644,300
x265,ShakeNDry,LDP,slow,crf=37,37.562,31.295,35.93,38.284,32.748,0.79975,0.89232,300
x265,ShakeNDry,RA,faster,crf=22,82.192,38.809,41.702,42.212,39.596,0.94772,0.98282,300
x265,ShakeNDry,RA,faster,crf=27,71.705,36.535,40.117,40.965,37.536,0.92033,0.96823,300
x265,ShakeNDry,RA,faster,crf=32,57.686,34.238,38.576,39.877,35.485,0.88119,0.94346,300
x265,ShakeNDry,RA,faster,crf=37,41.459,31.984,37.394,39.073,33.546,0.83002,0.90725,300
x265,ShakeNDry,RA,slow,crf=22,87.672,39.763,41.997,42.474,40.381,0.95617,0.98703,300
x265,ShakeNDry,RA,slow,crf=27,78.567,37.386,40.247,41.074,38.205,0.9313,0.97475,300
x265,ShakeNDry,RA,slow,crf=32,65.109,34.906,38.553,39.926,35.989,0.8927,0.9513,300
x265,ShakeNDry,RA,slow,crf=37,48.626,32.646,37.198,39.068,34.018,0.84473,0.91746,300
x265,YachtRide,LDP,faster,crf=22,90.099,38.993,42.499,41.752,39.776,0.95993,0.98654,600
x265,YachtRide,LDP,faster,crf=27,78.504,35.957,40.769,39.905,37.052,0.93001,0.97183,600
x265,YachtRide,LDP,faster,crf=32,60.842,32.955,39.49,38.388,34.451,0.87878,0.94169,600
x265,YachtRide,LDP,faster,crf=37,41.458,30.059,38.493,37.048,31.987,0.80458,0.88804,600
x265,YachtRide,LDP,slow,crf=22,94.056,40.021,42.638,41.886,40.581,0.9658,0.98916,600
x265,YachtRide,LDP,slow,crf=27,83.996,36.771,40.812,39.949,37.673,0.93798,0.97613,600
x265,YachtRide,LDP,slow,crf=32,67.152,33.547,39.434,38.371,34.886,0.88821,0.94837,600
x265,YachtRide,LDP,slow,crf=37,46.477,30.483,38.308,36.944,32.269,0.81459,0.89761,600
x265,YachtRide,RA,faster,crf=22,83.891,37.453,42.647,41.733,38.637,0.94853,0.9809,600
x265,YachtRide,RA,faster,crf=27,70.162,34.631,41.354,40.351,36.186,0.91473,0.96283,600
x265,YachtRide,RA,faster,crf=32,53.13,32.01,40.308,39.184,33.944,0.86589,0.93158,600
x265,YachtRide,RA,faster,crf=37,35.41,29.579,39.363,38.031,31.859,0.80444,0.88226,600
x265,YachtRide,RA,slow,crf=22,91.257,39.217,43.127,42.269,40.087,0.96259,0.98746,600
x265,YachtRide,RA,slow,crf=27,80.478,36.223,41.542,40.617,37.437,0.93554,0.97433,600
x265,YachtRide,RA,slow,crf=32,64.203,33.329,40.198,39.146,34.915,0.891,0.94888,600
x265,YachtRide,RA,slow,crf=37,45.482,30.731,39.177,37.909,32.684,0.83063,0.90627,600
