codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=2,300,1,0,2.803,72.311,36.424,40.582,41.401,37.566,0.916,0.9648,108.107,2144.332,32268.639,34412.971,24.81,84.89,,,,,,,2144.332,32268.639,34412.971,34.413,114.71,
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=3,300,1,0,2.886,72.662,36.492,40.622,41.443,37.627,0.91703,0.96544,108.111,2121.483,32252.928,34374.411,24.89,84.52,,,,,,,2121.483,32252.928,34374.411,34.3744,114.581,
dcvc_dc,DCVC-DC,YachtRide,LDP,,q=0,600,1,0,6.059,75.477,35.437,43.157,42.18,37.245,0.91781,0.96166,222.13,4268.81,64990.175,69258.985,25.07,83.74,,,,,,,4268.81,64990.175,69258.985,69.259,115.432,
dcvc_dc,DCVC-DC,YachtRide,LDP,,q=1,600,1,0,6.199,75.909,35.523,43.199,42.23,37.321,0.91907,0.96242,216.298,4882.981,71431.961,76314.942,22.07,53.06,,,,,,,4882.981,71431.961,76314.942,76.3149,127.192,
dcvc_dc,DCVC-DC,YachtRide,LDP,,q=2,600,1,0,6.345,76.364,35.61,43.235,42.268,37.395,0.92029,0.96315,216.301,4632.322,69196.389,73828.711,23.01,63.27,,,,,,,4632.322,69196.389,73828.711,73.8287,123.048,
dcvc_dc,DCVC-DC,YachtRide,LDP,,q=3,600,1,0,6.495,76.8,35.7,43.289,42.322,37.476,0.92159,0.96394,216.327,4688.639,69918.464,74607.103,22.86,59.86,,,,,,,4688.639,69918.464,74607.103,74.6071,124.345,
dcvc_fm,DCVC-FM,Beauty,LDP,,q=0,600,1,0,0.11,18.923,31.927,36.587,38.403,33.319,0.84945,0.91075,179.522,3150.448,62931.842,66082.29,25.61,81.28,,,,,,,3150.448,62931.842,66082.29,66.0823,110.137,
dcvc_fm,DCVC-FM,Beauty,LDP,,q=21,600,1,0,0.341,50.155,35.873,38.614,40.52,36.797,0.87623,0.95189,179.376,3961.596,69185.206,73146.802,21.19,46.44,,,,,,,3961.596,69185.206,73146.802,73.1468,121.911,
dcvc_fm,DCVC-FM,Beauty,LDP,,q=42,600,1,0,1.267,74.26,38.294,39.156,41.405,38.79,0.89638,0.97064,179.574,3773.131,67112.33,70885.461,22.1,55.88,,,,,,,3773.131,67112.33,70885.461,70.8855,118.142,
dcvc_fm,DCVC-FM,Beauty,LDP,,q=63,600,1,0,5.001,87.72,39.505,39.396,41.793,39.777,0.9083,0.97818,179.356,3899.638,69114.801,73014.439,21.44,47.88,,,,,,,3899.638,69114.801,73014.439,73.0144,121.691,
