codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,HoneyBee,LDP,p5,crf=27,encode,600,10.516,548.849,0.0,548.849,24.31,36.19,6.361,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf27.ivf
svtav1,HoneyBee,LDP,p5,crf=27,decode,600,0.572,18.737,0.0,18.737,24.4,36.41,6.361,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf27.ivf
svtav1,HoneyBee,LDP,p5,crf=35,encode,600,8.361,423.148,0.0,423.148,24.42,36.43,0.926,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf35.ivf
svtav1,HoneyBee,LDP,p5,crf=35,decode,600,0.318,8.882,0.0,8.882,24.65,37.63,0.926,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf35.ivf
svtav1,HoneyBee,LDP,p5,crf=43,encode,600,5.63,300.658,0.0,300.658,24.3,36.67,0.38,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf43.ivf
svtav1,HoneyBee,LDP,p5,crf=43,decode,600,0.305,7.332,0.0,7.332,24.42,36.44,0.38,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf43.ivf
svtav1,HoneyBee,LDP,p5,crf=51,encode,600,6.102,317.168,0.0,317.168,24.32,36.31,0.211,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf51.ivf
svtav1,HoneyBee,LDP,p5,crf=51,decode,600,0.304,7.04,0.0,7.04,24.51,36.51,0.211,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_LDP_crf51.ivf
svtav1,HoneyBee,RA,p5,crf=27,encode,600,3.881,345.649,0.0,345.649,24.42,36.38,3.703,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf27.ivf
svtav1,HoneyBee,RA,p5,crf=27,decode,600,0.376,11.363,0.0,11.363,24.64,36.37,3.703,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf27.ivf
svtav1,HoneyBee,RA,p5,crf=35,encode,600,3.663,318.081,0.0,318.081,24.48,36.45,3.0,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf35.ivf
svtav1,HoneyBee,RA,p5,crf=35,decode,600,0.355,10.533,0.0,10.533,24.68,36.38,3.0,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf35.ivf
svtav1,HoneyBee,RA,p5,crf=43,encode,600,3.93,347.393,0.0,347.393,24.33,36.65,2.231,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf43.ivf
svtav1,HoneyBee,RA,p5,crf=43,decode,600,0.339,10.441,0.0,10.441,24.8,36.09,2.231,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf43.ivf
svtav1,HoneyBee,RA,p5,crf=51,encode,600,4.231,379.949,0.0,379.949,24.42,36.48,1.605,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf51.ivf
svtav1,HoneyBee,RA,p5,crf=51,decode,600,0.32,9.718,0.0,9.718,24.62,36.67,1.605,/home/user/tesi/bitstreams_video/svtav1_HoneyBee_RA_crf51.ivf
svtav1,Jockey,LDP,p5,crf=27,encode,600,16.355,772.084,0.0,772.084,24.37,36.38,19.253,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf27.ivf
svtav1,Jockey,LDP,p5,crf=27,decode,600,0.648,29.927,0.0,29.927,24.42,36.23,19.253,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf27.ivf
svtav1,Jockey,LDP,p5,crf=35,encode,600,15.912,752.024,0.0,752.024,24.61,36.27,8.806,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf35.ivf
svtav1,Jockey,LDP,p5,crf=35,decode,600,0.398,20.772,0.0,20.772,24.42,36.32,8.806,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf35.ivf
svtav1,Jockey,LDP,p5,crf=43,encode,600,14.452,683.723,0.0,683.723,24.42,36.37,4.781,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf43.ivf
svtav1,Jockey,LDP,p5,crf=43,decode,600,0.324,16.543,0.0,16.543,24.62,36.55,4.781,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf43.ivf
svtav1,Jockey,LDP,p5,crf=51,encode,600,15.133,724.88,0.0,724.88,24.41,36.67,2.589,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf51.ivf
svtav1,Jockey,LDP,p5,crf=51,decode,600,0.318,14.003,0.0,14.003,24.51,36.24,2.589,/home/user/tesi/bitstreams_video/svtav1_Jockey_LDP_crf51.ivf
svtav1,Jockey,RA,p5,crf=27,encode,600,5.922,560.774,0.0,560.774,24.4,36.23,10.266,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf27.ivf
