codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
svtav1,Beauty,LDP,p2,crf=35,85.661,39.47,39.296,41.495,39.701,0.90863,0.97824,600
svtav1,Beauty,LDP,p2,crf=43,78.085,38.754,39.069,41.182,39.097,0.90046,0.97371,600
svtav1,Beauty,LDP,p2,crf=51,67.63,37.878,38.848,40.784,38.362,0.89205,0.96793,600
svtav1,Beauty,LDP,p10,crf=27,91.535,39.69,39.247,41.768,39.895,0.91372,0.98107,600
svtav1,Beauty,LDP,p10,crf=35,86.382,39.134,39.068,41.436,39.414,0.90523,0.977,600
svtav1,Beauty,LDP,p10,crf=43,78.392,38.375,38.999,41.073,38.791,0.89727,0.97218,600
svtav1,Beauty,LDP,p10,crf=51,67.461,37.371,38.769,40.636,37.954,0.88804,0.96544,600
svtav1,Beauty,RA,p2,crf=27,87.382,39.587,39.335,41.661,39.815,0.90925,0.97876,600
svtav1,Beauty,RA,p2,crf=35,82.901,39.216,39.233,41.506,39.504,0.90535,0.97664,600
svtav1,Beauty,RA,p2,crf=43,76.348,38.688,39.125,41.322,39.072,0.90019,0.97347,600
svtav1,Beauty,RA,p2,crf=51,68.633,38.025,39.011,41.13,38.536,0.89412,0.96912,600
svtav1,Beauty,RA,p10,crf=27,87.187,39.371,38.915,41.444,39.573,0.90725,0.9783,600
svtav1,Beauty,RA,p10,crf=35,81.726,38.871,38.99,41.381,39.2,0.90255,0.97539,600
svtav1,Beauty,RA,p10,crf=43,74.385,38.199,38.982,41.188,38.67,0.89647,0.97129,600
svtav1,Beauty,RA,p10,crf=51,65.673,37.375,38.883,40.953,38.011,0.88919,0.96566,600
svtav1,Bosphorus,LDP,p2,crf=27,94.291,43.921,46.994,46.613,44.642,0.97831,0.99366,600
svtav1,Bosphorus,LDP,p2,crf=35,90.093,41.942,45.688,45.391,42.842,0.96901,0.98961,600
svtav1,Bosphorus,LDP,p2,crf=43,83.215,39.825,44.278,44.065,40.912,0.9542,0.98239,600
svtav1,Bosphorus,LDP,p2,crf=51,73.054,37.696,42.796,42.585,38.945,0.93258,0.97025,600
svtav1,Bosphorus,LDP,p10,crf=27,92.731,42.205,46.641,46.302,43.271,0.97153,0.99152,600
svtav1,Bosphorus,LDP,p10,crf=35,88.302,40.732,45.093,44.916,41.8,0.96298,0.98747,600
svtav1,Bosphorus,LDP,p10,crf=43,81.522,38.929,43.543,43.411,40.066,0.94794,0.97994,600
svtav1,Bosphorus,LDP,p10,crf=51,71.038,36.968,42.103,41.881,38.224,0.92519,0.96704,600
svtav1,Bosphorus,RA,p2,crf=27,93.644,43.94,48.005,47.258,44.863,0.97909,0.99399,600
svtav1,Bosphorus,RA,p2,crf=35,90.914,42.678,47.347,46.637,43.757,0.97408,0.99193,600
svtav1,Bosphorus,RA,p2,crf=43,87.14,41.323,46.622,46.02,42.573,0.96696,0.98883,600
svtav1,Bosphorus,RA,p2,crf=51,82.318,39.956,45.823,45.286,41.356,0.95738,0.98431,600
svtav1,Bosphorus,RA,p10,crf=27,90.14,42.1,46.94,46.428,43.246,0.97172,0.9914,600
svtav1,Bosphorus,RA,p10,crf=35,86.339,40.966,46.109,45.682,42.198,0.96545,0.98852,600
svtav1,Bosphorus,RA,p10,crf=43,81.377,39.715,45.219,44.854,41.046,0.95669,0.98427,600
