codec_label,bitrate_mbps_mean,bitrate_mbps_min,bitrate_mbps_max,psnr_y_mean,vmaf_mean,energy_kj_mean,energy_kj_min,energy_kj_max,encode_energy_j_mean,decode_energy_j_mean
x264 medium,6.3425714285714285,1.949,13.500142857142858,35.30432142857143,65.70442857142858,0.14136428571428572,0.10785714285714286,0.1911,131.47714285714284,9.884535714285715
x265 medium,6.204285714285715,1.2885714285714285,14.013000000000002,36.591928571428575,71.08260714285714,0.3690714285714286,0.23065714285714284,0.5460428571428572,343.92064285714287,25.15592857142857
SVT-AV1 p5,14.738357142857144,3.493,33.14814285714286,39.99189285714286,87.41935714285714,0.7674000000000001,0.7174571428571428,0.7982142857142858,745.687,21.715392857142856
VVenC medium,3.399785714285714,0.5201428571428571,8.604714285714286,37.787,76.40046428571428,7.006321428571429,3.2026285714285714,12.558257142857144,6911.248678571428,95.06846428571428
DCVC-DC,2.8386428571428572,2.7515714285714283,2.927857142857143,38.022000000000006,80.53539285714285,68.66373214285714,68.36847142857143,69.2073,68663.73817857142,
DCVC-FM,3.5679285714285713,0.18685714285714286,10.687142857142858,35.796,64.5619642857143,65.95662857142857,65.02768571428571,66.41778571428571,65956.62414285714,
DCVC-RT,4.643035714285714,0.26485714285714285,13.475428571428571,36.87067857142857,70.62225000000001,8.643989285714285,8.40242857142857,8.835285714285714,8643.982107142856,
DCVC-RT-CUDA,4.647285714285714,0.2682857142857143,13.48242857142857,36.86892857142857,70.60525,6.452114285714286,6.357714285714286,6.5196,3364.9923214285714,3087.119107142857
